Timestamp,E4,Embrace,Actigraph,GeneActiv (black),GeneActiv (pink),Biostrap,Blaze
1491091200,left,right,,left,left,left,right
1491220800,left,right,right,left,left,left,right
1491325200,left,left,right,left,left,right,right
1491396600,right,right,left,right,right,left,right
1491493500,right,left,right,right,right,right,left
1491574080,right,left,,,,right,right
1492178880,,,,,,,
