Timestamp,E4,Embrace,Actigraph,GeneActiv (black),GeneActiv (pink),Biostrap,Blaze
1491091200,unspecified,unspecified,,elbow,unspecified,wrist,wrist
1491220800,unspecified,unspecified,wrist,elbow,unspecified,wrist,elbow
1491325200,wrist,unspecified,unspecified,elbow,unspecified,wrist,elbow
1491396600,wrist,wrist,elbow,middle,elbow,wrist,elbow
1491493500,wrist,wrist,middle,elbow,elbow,wrist,elbow
1491574080,elbow,wrist,,,,wrist,wrist
1492178880,,,,,,,
